st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40
AK,5/31/2021,974,974,192,33804,21392,3623383,147,147,3172,78,9,134,0,61,0,46,6,74,0,41,0,277,4746,849537,164067,0,0,0,0,944450,0,3,23,3284,426,0,0,0,0,0
AK,6/30/2021,493,493,130,24516,20966,3553473,56,56,4155,60,3,121,0,91,0,26,3,68,0,64,0,955,17097,2859064,114552,0,0,0,0,913060,0,7,187,33010,1094,0,0,0,0,0
AK,7/31/2021,337,326,58,21061,11642,1970530,52,51,2889,58,1,65,3,45,0,27,0,36,1,27,0,584,9290,1617334,88335,0,0,0,0,571350,0,3,99,15476,2146,0,0,0,0,0
AK,8/31/2021,370,345,38,19068,12158,2085638,30,26,2917,35,0,97,1,68,1,17,0,52,1,43,1,189,3849,636867,91211,0,0,0,0,289077,0,3,82,23830,170,0,0,0,0,0
AK,9/30/2021,148,135,34,8707,4401,752601,28,26,3251,24,0,64,2,39,2,13,0,29,1,24,1,176,2995,514310,45038,0,0,0,0,501931,0,0,0,0,0,0,0,0,0,53728
AK,10/31/2021,148,135,34,8707,4401,752601,28,26,3471,28,0,58,2,45,0,21,0,26,0,26,0,176,2995,514310,41448,0,0,0,0,501931,0,0,0,0,0,0,0,0,0,53728
AK,11/30/2021,0,0,4,12,542,84137,0,0,3225,31,5,64,4,28,0,13,2,28,1,17,0,74,464,80780,14485,0,0,0,0,180728,0,0,0,0,1104,0,0,0,0,18546
AK,12/31/2021,1,0,6,56,246,36093,0,0,1441,9,0,27,9,18,2,3,0,21,7,9,2,144,452,75947,6298,0,0,0,0,103996,0,0,0,0,1560,0,0,0,0,49632
AK,1/31/2022,0,0,3,0,106,14829,0,0,969,4,0,17,4,11,0,4,0,11,2,6,0,78,166,22600,3442,6,36,5081,0,96982,0,1,2,266,0,0,0,0,0,96020
AK,2/28/2022,0,0,3,0,218,37793,0,0,773,4,1,25,1,3,0,3,1,8,1,3,0,70,470,46733,4996,38,251,45810,0,89001,0,0,0,0,1300,0,0,0,0,35694
AK,3/31/2022,0,0,5,0,250,52946,0,0,424,7,0,12,7,2,0,2,0,8,6,1,0,327,424,68144,2442,29,217,42848,0,135306,0,0,0,0,1040,0,0,0,0,66011
AK,4/30/2022,0,0,0,0,137,18520,0,0,35,2,1,3,0,2,0,1,0,2,0,1,0,115,195,26087,514,7,38,6556,0,124450,0,0,0,0,520,0,0,0,0,507297
AK,5/31/2022,1,1,2,4,241,31492,0,0,78,10,0,3,0,3,0,6,0,2,0,2,0,35,122,23110,515,1,2,22,0,133099,0,0,0,0,576,0,0,0,0,735313
AK,6/30/2022,0,0,0,0,70,9224,0,0,180,3,0,5,3,5,0,3,0,4,1,2,0,8,9,858,926,0,0,0,0,86577,0,0,0,0,0,0,0,0,0,243267
AK,7/31/2022,0,0,1,0,27,8317,0,0,91,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,421,0,0,0,0,24860,0,0,0,0,0,0,0,0,0,45590
AK,8/31/2022,0,0,1,0,21,2793,0,0,64,1,0,1,0,0,0,1,0,1,0,0,0,4,4,532,211,1,4,532,0,22316,0,0,0,0,0,0,0,0,0,59501
AK,9/30/2022,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,22,23,4130,211,0,0,0,0,31388,0,0,0,0,0,0,0,0,0,100717
AK,10/31/2022,0,0,0,0,14,1239,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,18,23,2334,512,1,12,1596,0,2397638,0,0,0,0,63144,0,0,0,0,96135
AK,11/30/2022,0,0,0,0,9,1485,0,0,74,2,0,2,0,2,0,0,0,1,0,1,0,2,6,798,512,0,0,0,0,51545,0,0,0,0,767,0,0,0,0,39574
AL,4/30/2020,22902,22313,4908,94888,192566,2130742,3669,3133,13039,1073,84,272,15,37,0,371,17,60,10,0,0,3,5,771,892768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,5/31/2020,44022,5698,39404,192566,246427,28042623,7609,5282,33236,3125,90,385,38,52,0,1020,27,98,14,1,0,2609,65056,623068,1708382,10,27,3078,0,0,0,0,0,0,0,0,0,0,0,0
AL,6/30/2020,23680,5669,13626,162202,239007,27359010,4533,3775,40073,3858,82,358,53,98,9,1229,20,128,24,0,0,2439,11217,361033,1082881,15,56,6330,0,0,0,0,0,0,0,0,0,0,0,0
AL,7/31/2020,16788,4623,10220,153992,216357,51831,2752,2173,25776,7951,97,375,38,108,7,3615,32,162,21,2,0,1935,18203,250692,865468,19,78,8645,0,0,0,0,0,0,0,0,0,0,0,0
AL,8/31/2020,9056,5905,5786,143632,196330,23118453,2032,265,23035,4075,105,502,43,182,6,1192,32,236,21,57,1,2990,26750,819942,664534,22,140,16243,0,0,0,0,0,0,0,0,0,0,0,0
AL,9/30/2020,6648,4692,4540,119094,231829,27154415,1039,140,19157,3536,126,501,45,170,4,1071,33,215,37,31,3,5140,31549,1572662,546292,53,287,28124,0,0,0,0,0,0,0,0,0,0,0,0
AL,10/31/2020,26496,20312,1031,124235,214085,25191862,2698,142,14287,4804,168,703,14,253,5,1573,43,305,5,48,1,2192,19466,706615,1084394,38,305,33792,0,0,0,0,0,0,0,0,0,0,0,0
AL,11/30/2020,17645,12993,18103,118558,296949,44460115,10368,7252,13356,3978,212,474,75,122,7,1104,67,267,29,41,1,4387,63285,718325,808811,26,227,31717,0,0,0,0,0,0,0,0,0,0,0,0
AL,12/31/2020,11526,8475,8476,104201,290862,46027968,8986,6675,12230,3285,85,413,78,125,7,915,24,201,41,55,1,1416,15320,709542,614203,28,199,18228,0,0,0,0,0,0,0,0,0,0,0,0
AL,1/31/2021,13523,12096,3660,100226,151339,19517460,13414,11993,52550,101,120,573,51,196,11,24,28,247,13,68,5,1244,14971,1741887,628338,53,635,119364,0,0,0,0,0,0,0,0,0,0,0,0
AL,2/28/2021,10264,9462,2721,45885,150337,19014571,10180,9382,5388,106,146,661,83,196,5,27,42,268,24,57,0,1236,17694,2279962,454344,55,846,161803,0,0,0,0,0,0,0,0,0,0,0,0
AL,3/31/2021,17750,16949,4126,53295,184146,23171255,17691,16894,4869,118,143,757,76,213,8,30,32,337,41,86,6,1628,22446,2874681,653538,114,1256,218991,0,0,0,0,0,0,0,0,0,0,0,0
AL,4/30/2021,26509,25572,2883,37741,99506,12396667,26464,25527,2934,95,161,745,138,270,20,31,36,328,53,101,9,1134,20103,2561761,816641,64,861,152013,0,0,0,0,0,0,0,0,0,0,0,0
AL,5/31/2021,10284,9867,782,36612,74351,9609091,10259,9844,2155,49,69,1842,89,302,20,21,31,473,34,91,8,1022,17639,2307891,669352,55,541,96145,0,0,0,0,0,0,0,0,0,0,0,0
AL,6/30/2021,3567,3357,592,19212,71737,9396300,3549,3342,914,49,75,1707,57,86,12,11,19,425,23,35,6,1033,11977,1773999,455565,66,461,93318,0,0,0,0,0,0,0,0,0,0,0,0
AL,7/31/2021,714,673,302,352,8883,1158076,698,657,15,65,54,947,42,84,9,14,7,352,10,40,0,824,7325,1358340,201384,45,374,80918,0,0,0,0,0,0,0,0,0,0,0,0
AL,8/31/2021,164,153,256,238,7750,984592,153,143,14,30,46,561,38,108,12,5,17,296,10,42,4,691,6812,1304663,113684,34,231,45425,0,0,0,0,0,0,0,0,0,0,0,0
AL,9/30/2021,109,99,256,165,8012,1075430,98,88,7,70,76,391,56,94,13,18,16,205,21,47,9,734,8264,1466597,79038,47,513,90439,0,0,0,0,0,0,0,0,0,0,0,0
AL,10/31/2021,140,134,172,91,5454,741835,126,120,3,48,60,509,25,118,11,7,7,286,15,52,5,796,7533,1350562,126942,43,441,89614,0,0,0,0,0,0,0,0,0,0,0,0
AL,11/30/2021,606,549,283,69,6134,770752,582,525,2,42,71,403,27,74,7,12,13,197,14,43,2,643,5913,1077177,111583,40,296,59604,0,0,0,0,0,0,0,0,0,0,0,0
AL,12/31/2021,42,41,962,41,18753,2331525,28,28,1,25,28,429,30,84,11,0,11,185,13,27,8,708,6067,909910,105321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1/31/2022,48,47,507,38,10972,1509,34,33,4,20,52,410,73,84,11,2,11,199,33,27,8,723,7223,901366,95155,46,578,97984,0,0,0,0,0,0,0,0,0,0,0,0
AL,2/28/2022,15,15,179,24,3001,389588,1,1,4,31,70,521,21,101,1,7,14,254,4,43,0,718,7320,992676,119795,71,795,119586,0,0,0,0,0,0,0,0,0,0,0,0
AL,3/31/2022,14,11,522,6,5078,664559,0,0,1,50,65,693,74,92,5,10,13,391,30,41,1,0,0,0,159201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,4/30/2022,15,15,245,9,2705,540126,0,0,0,29,31,602,42,87,7,0,0,0,0,0,0,820,6052,742807,141877,52,578,89354,0,0,0,0,0,0,0,0,0,0,0,0
AL,5/31/2022,20,20,391,28,4024,526555,1,1,1,48,49,687,26,87,26,21,18,5,1,5,1,696,7360,921708,161918,62,655,97255,0,0,0,0,0,0,0,0,0,0,0,0
AL,6/30/2022,16,16,176,35,2244,384125,1,1,8,28,41,554,32,76,5,1,0,10,0,2,0,556,6242,766191,130729,79,799,112612,0,0,0,0,0,0,0,0,0,0,0,0
AL,7/31/2022,22,20,173,93,2218,261631,3,3,64,18,53,723,37,27,1,0,4,15,1,0,0,520,5242,680647,157727,125,1034,139509,0,0,0,0,0,0,0,0,0,0,0,0
AL,8/31/2022,22,20,278,17,4252,496322,3,3,2,44,97,975,84,83,12,2,4,28,7,8,0,925,7542,577461,212413,86,1041,182920,0,0,0,0,0,0,0,0,0,0,0,0
AL,9/30/2022,7,5,72,14,1006,117988,0,0,2,70,29,878,21,70,3,0,0,8,3,0,0,307,3579,483239,190958,71,814,125585,0,0,0,0,0,0,0,0,0,0,0,0
AL,10/31/2022,10,5,79,25,995,136761,0,0,3,103,47,796,40,101,11,0,0,10,1,0,0,376,3272,438179,212376,63,471,63234,0,0,0,0,0,0,0,0,0,0,0,0
AL,11/30/2022,7,7,128,7,2472,309431,1,1,1,71,73,749,55,83,3,0,0,12,0,6,0,548,4531,571158,199858,79,769,134091,0,0,0,0,0,0,0,0,0,0,0,0
AR,4/30/2020,135,33,36,1740,1541,253153,0,0,8,263,174,767,129,175,27,0,0,0,0,0,0,0,0,0,100407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,5/31/2020,40225,4302,20519,48428,44986,5938740,26055,4046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,6/30/2020,37115,43222,17804,481562,445576,62705413,20390,30086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,7/31/2020,48673,21986,19686,481873,460837,62325744,26333,15232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,8/31/2020,52966,13017,13600,514598,498182,66502583,21281,7991,0,741,37,329,1,134,1,0,0,0,0,0,0,0,0,0,1875202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,9/30/2020,25478,2306,3289,294646,297459,38832456,11592,1513,0,755,58,531,41,129,18,0,0,0,0,0,0,0,0,0,998001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,10/31/2020,13467,1348,1725,263525,262282,35014975,6754,1015,0,925,86,526,61,94,18,0,0,0,0,0,0,0,0,0,1212210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,11/30/2020,11805,808,939,249928,246176,32883347,4281,540,0,1023,86,504,88,98,24,0,0,0,0,0,0,0,0,0,1136399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,12/31/2020,6870,840,1029,151782,142683,20162312,2698,484,0,1525,114,776,94,190,21,0,0,0,0,0,0,0,0,0,706721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1/31/2021,858,374,437,156817,51007,7294030,329,230,0,788,118,812,75,183,11,0,0,0,0,0,0,1151,25238,3441347,672078,154,765,104811,0,0,0,0,0,0,0,0,0,0,0,0
AR,2/28/2021,4610,153,146,188951,218385,30176756,1834,104,0,415,105,870,65,170,15,0,0,0,0,0,0,746,14264,2155986,856782,1,6,714,0,0,0,0,0,0,0,0,0,0,0,0
AR,3/31/2021,3522,1584,771,177794,182179,25255956,1353,957,0,635,166,1586,152,399,28,0,0,0,0,0,0,1304,26388,3536334,829751,2,5,979,0,0,0,0,0,0,0,0,0,0,0,0
AR,4/30/2021,5347,2718,1194,188613,182740,25379109,1268,1160,0,904,169,1875,128,400,16,0,0,0,0,0,0,3164,86142,11732859,912734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,5/31/2021,17097,514,721,201544,199589,27859145,2382,257,0,1108,193,1352,116,297,16,0,0,0,0,0,0,4152,150158,20648088,1110808,3,12,1584,0,0,0,0,0,0,0,0,0,0,0,0
AR,6/30/2021,2022,300,344,143357,138386,19398017,754,148,0,1350,244,1320,83,279,16,0,0,0,0,0,0,4146,166124,22717462,659210,4,7,924,0,0,0,0,0,0,0,0,0,0,0,0
AR,7/31/2021,12,224,172,10980,10458,1511938,6,87,6,1066,208,1259,201,302,30,0,0,0,0,0,0,2917,131343,18054071,100367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,8/31/2021,142,98,104,5166,4948,705820,55,59,0,723,263,1424,113,260,18,0,0,0,0,0,0,419,18741,2657273,87061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,9/30/2021,135,33,36,1740,1541,253153,53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,227,10653,1445552,8721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,10/31/2021,2,8,13,694,626,85219,2,3,18,155,178,409,176,104,29,0,0,0,0,0,0,44,1420,189810,55492,1,4,528,0,0,0,0,0,0,0,0,0,0,0,0
AR,11/30/2021,4,21,14,840,1087,154471,3,14,0,71,66,170,111,37,13,0,0,0,0,0,0,15,437,54641,24294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,12/31/2021,3,25,28,1799,3542,254903,2,12,14,44,39,166,122,48,24,0,0,0,0,0,0,108,3419,72026,25940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1/31/2022,0,13,20,1526,2560,226293,0,6,0,48,25,86,101,20,30,0,0,0,0,0,0,46,1605,3381,15364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2/28/2022,2,16,28,1083,2303,253887,1,6,0,14,30,74,147,10,24,2,1,3,3,2,0,47,1473,13995,12233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,3/31/2022,3,11,24,980,2118,198112,2,6,0,39,16,28,96,2,42,6,4,3,5,0,1,45,1573,13493,5734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,4/30/2022,1,5,8,400,494,62479,1,2,0,113,7,39,122,4,42,8,1,6,12,0,0,19,656,77093,6130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,5/31/2022,1,22,21,835,1449,162781,0,9,0,76,11,34,108,4,23,0,4,4,7,1,0,18,643,19151,6234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,6/30/2022,2,6,15,673,1697,192253,0,1,0,59,11,21,48,8,16,0,1,1,3,1,0,49,818,12399,4214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,7/31/2022,1,18,10,446,491,68667,1,7,0,46,10,37,0,20,0,1,0,4,0,2,0,7,75,7866,5780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,8/31/2022,1,2,3,151,388,43901,0,1,0,88,5,37,50,6,5,15,0,2,10,1,0,18,429,34400,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,9/30/2022,1,4,4,168,171,35536,0,3,0,59,6,36,14,17,6,3,0,3,2,3,1,9,291,27852,5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,10/31/2022,1,10,9,342,603,83076,0,5,0,45,9,192,11,18,0,0,0,1,4,0,0,17,554,40549,20982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,5/31/2020,204652,132179,46636,1637033,784443,117883218,56846,32799,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6679270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,6/30/2020,629875,615083,242026,7524997,3951131,545020414,87616,86694,62,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25413348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,7/31/2020,899971,887913,244190,9563948,3623357,486558049,91695,91011,114,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,34772109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,8/31/2020,273541,270055,126803,1946610,2319048,332687662,40407,40173,876,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8653882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,9/30/2020,1256138,1254423,313691,2367831,2016672,324770149,138412,138490,10788,350,2,6,0,5,0,5,0,2,0,1,0,0,0,0,26637525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,10/31/2020,1024116,1016600,259481,2063091,1325457,241024618,109163,109389,9601,1016,11,53,0,21,0,134,2,4,0,1,0,0,0,0,23393807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,11/30/2020,9182,9447,98860,1490298,1180354,228353880,879,1028,7476,920,14,122,2,68,0,175,5,8,0,1,0,0,0,0,3514166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,12/31/2020,4725,5974,5364,435458,597617,93263660,1076,1402,7563,1222,5,380,5,275,0,440,1,90,0,51,0,0,0,0,1107690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1/31/2021,13237,11475,7731,562765,550186,79971385,98,113,12835,1638,10,634,0,382,0,440,1,90,0,51,0,0,0,0,1550798,0,0,0,2121,0,0,0,0,0,0,0,0,0,0,0
AZ,2/28/2021,8208,7270,5579,499073,488406,70937749,14,63,13466,1381,28,661,9,320,1,344,2,127,1,64,0,0,0,0,1324073,0,0,0,17526,0,0,0,0,0,0,0,0,0,0,0
AZ,3/31/2021,6235,6033,5207,394725,519887,73391486,275,378,15591,1547,40,594,21,195,9,371,8,163,2,71,1,0,0,0,1051519,0,0,0,33872,0,0,0,0,0,0,0,0,0,0,0
AZ,4/30/2021,4749,4631,13039,496662,501031,72401113,503,560,14078,1765,48,987,24,226,5,399,14,234,3,74,0,0,0,0,1245983,0,0,0,12848,0,0,0,0,0,0,0,0,0,0,0
AZ,5/31/2021,5598,5512,17619,555541,487708,70458942,1,33,16574,1764,68,952,38,261,6,431,18,251,7,90,2,0,0,0,1380565,0,0,0,9504,0,0,0,0,0,0,0,0,0,0,0
AZ,6/30/2021,4996,6927,8757,323033,378180,55161178,11,2248,39223,8358,49,1799,50,866,2,2329,8,394,13,146,2,0,0,0,979698,0,0,0,4068,0,0,0,0,0,0,0,0,0,0,0
AZ,7/31/2021,3711,2291,5203,241663,260872,38160122,2,137,28106,6532,39,1184,50,341,8,1879,10,262,7,96,1,0,0,0,733270,0,0,0,2593,0,0,0,0,0,0,0,0,0,0,0
AZ,8/31/2021,2362,2172,3006,210018,219096,32717662,245,166,21197,2674,52,3083,53,848,8,628,13,568,16,223,2,0,0,0,872314,0,0,0,2098,0,0,0,0,0,0,0,0,0,0,0
AZ,9/30/2021,141,308,1488,40560,60458,8965546,22,117,5086,840,101,4985,32,1712,7,70,23,1116,7,445,2,0,0,0,697806,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0
AZ,10/31/2021,0,0,757,5632,16994,2452989,0,0,2554,680,75,4130,29,1818,7,47,24,971,12,530,4,0,0,0,633011,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0
AZ,11/30/2021,0,0,145,8185,8768,1259030,0,0,3761,1785,89,6211,36,2490,12,372,24,1601,8,703,3,0,0,0,965503,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0
AZ,12/31/2021,0,0,166,9883,8852,1269347,0,0,4407,1119,129,4438,40,1685,10,247,35,1294,7,506,3,0,0,0,696361,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0
AZ,1/31/2022,0,0,174,2934,8022,1143880,0,0,933,1631,122,5767,53,1860,12,341,33,1485,18,580,4,692,14454,1921559,868881,687,14409,1916294,161,0,0,3,48,5616,0,3,48,5616,0,0
AZ,2/28/2022,0,0,203,3475,10411,1481537,0,0,925,1646,107,4744,46,1423,11,374,24,1144,8,376,2,311,6622,924629,716371,310,6607,922847,209,0,0,0,0,0,0,0,0,0,0,0
AZ,3/31/2022,0,0,213,3481,13267,1944554,0,0,1216,134,149,5152,83,1682,26,16,45,1472,21,573,7,10794,202869,30191220,777550,10770,202254,30090606,303,15794,15794,18,303,45844,0,18,303,45844,0,0
AZ,4/30/2022,0,0,119,2973,7866,1131303,0,0,1069,4639,180,5155,83,1683,26,776,55,1483,21,573,7,1820,34222,5220279,690787,1818,34191,5216665,188,239428,239428,4,91,16797,85,4,91,16797,85,0
AZ,5/31/2022,0,0,114,2379,6899,981995,0,0,662,490,107,6245,66,2413,25,60,29,1159,20,484,9,162,3280,455637,835072,159,3204,446745,178,230462,229533,3,37,7035,1859,3,37,7035,1859,0
AZ,6/30/2022,0,0,85,1314,4674,693101,0,0,350,616,241,5822,147,2342,44,22,58,1293,36,496,12,143,3139,451844,777280,139,3128,449893,104,85338,84461,1,47,5499,0,1,47,5499,0,480
AZ,7/31/2022,0,0,13,113,533,76194,0,0,214,925,238,2663,122,1211,35,256,48,531,32,235,12,0,0,0,361160,0,0,0,11,2553,2553,0,0,0,0,0,0,0,0,0
AZ,8/31/2022,0,0,39,873,2771,423515,0,0,257,452,100,2177,214,1075,56,69,19,463,52,219,19,16,276,36581,296361,16,276,36581,62,209794,183858,0,0,0,1515,0,0,0,1515,4212
AZ,9/30/2022,0,0,31,749,2266,327720,0,0,201,319,69,2598,163,1341,36,28,11,382,47,201,6,51,846,124242,353377,51,846,124242,48,98812,67333,0,0,0,41,0,0,0,41,0
CA,4/30/2020,231889,231307,37851,196436,188477,30411980,230324,229758,6160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8278448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,5/31/2020,505561,487431,532196,5210306,5075202,1278634843,444748,434816,107346,54,0,1,0,1,0,54,0,1,0,1,0,4,12,2424,27227052,2,7,1520,0,0,0,0,0,0,0,0,0,0,0,0
CA,6/30/2020,381352,352889,271687,5820471,5607610,1377514019,337508,318612,163856,1758,1,423,0,203,0,1079,1,254,0,145,0,53,333,80117,24264358,12,86,22222,0,6428,6341,287,2169,530732,0,0,0,0,0,0
CA,7/31/2020,756277,719386,452762,10935303,10651507,2869156172,708238,681706,208998,3921,71,2565,2,1589,1,2567,30,1687,2,1183,1,165,1374,358641,48720175,37,280,81272,0,3833,1157,1288,13560,3372607,0,13,91,24723,0,0
CA,8/31/2020,1174196,1136234,686651,21278050,19736581,6362924503,1119549,1091088,1440246,4991,129,3814,98,2289,98,3075,61,2437,98,1650,98,195,1877,464601,84068493,67,598,174947,0,37129,31760,608,7237,2100452,0,10,120,41709,0,0
CA,9/30/2020,644949,606971,150643,15400749,9163311,2551352255,577402,549497,6149582,7005,200,4944,192,2913,80,4500,91,3049,192,2024,38,221,2398,695388,54173065,72,725,223230,0,48432,44288,582,7817,3006871,0,0,0,0,0,0
CA,10/31/2020,114408,69702,61702,11229835,6555844,1666574503,83570,48756,4596767,7366,213,5398,199,3127,62,5040,120,3572,99,2269,39,564,7956,1884866,27224627,96,1052,309479,0,74246,69280,376,5857,1664951,0,0,0,0,0,0
CA,11/30/2020,142941,97777,77060,8279082,7248009,1860277988,88800,56722,945670,8213,150,4776,133,3097,56,6057,67,3357,73,2350,37,533,8270,2138071,22349656,46,409,113100,0,56507,51814,622,10767,2818169,0,0,0,0,0,0
CA,12/31/2020,190005,125712,85119,7878316,7108020,1810360888,112109,65636,700816,10474,162,7610,209,4941,67,7657,82,5581,93,3866,32,1174,19260,5905044,23975982,31,390,113324,0,66101,55582,1384,22715,6953778,0,2,52,23797,0,0
CA,1/31/2021,238681,142364,46827,5300995,4818171,1174741816,167793,92677,426121,8743,143,5790,136,3142,29,5518,80,4055,74,2361,19,459,8328,2302444,19327353,43,875,368536,0,73823,63191,390,5812,1538432,0,0,0,0,0,0
